df,p0.995,p0.975,p0.2,p0.1,p0.05,p0.025,p0.02,p0.01,p0.005,p0.002,p0.001
915,808.5765,833.0723,950.7927,970.229,986.4776,1000.7157,1004.9794,1017.4412,1028.9345,1042.9778,1052.9036
916,809.5166,834.02672,951.81228,971.2588,987.51584,1001.76128,1006.02716,1018.49528,1029.9944,1044.04472,1053.97544
917,810.4567,834.98114,952.83186,972.2886,988.55408,1002.80686,1007.07492,1019.54936,1031.0543,1045.11164,1055.04728
918,811.3968,835.93556,953.85144,973.3184,989.59232,1003.85244,1008.12268,1020.60344,1032.1142,1046.17856,1056.11912
919,812.3369,836.88998,954.87102,974.3482,990.63056,1004.89802,1009.17044,1021.65752,1033.1741,1047.24548,1057.19096
920,813.277,837.8444,955.8906,975.378,991.6688,1005.9436,1010.2182,1022.7116,1034.234,1048.3124,1058.2628
921,814.2171,838.79882,956.91018,976.4078,992.70704,1006.98918,1011.26596,1023.76568,1035.2939,1049.37932,1059.33464
922,815.1572,839.75324,957.92976,977.4376,993.74528,1008.03476,1012.31372,1024.81976,1036.3538,1050.44624,1060.40648
923,816.0973,840.70766,958.94934,978.4674,994.78352,1009.08034,1013.36148,1025.87384,1037.4137,1051.51316,1061.47832
924,817.0374,841.66208,959.96892,979.4972,995.82176,1010.12592,1014.40924,1026.92792,1038.4736,1052.58008,1062.55016
925,817.9775,842.6165,960.9885,980.527,996.86,1011.1715,1015.457,1027.982,1039.5335,1053.647,1063.622
926,818.9176,843.57092,962.00808,981.5568,997.89824,1012.21708,1016.50476,1029.03608,1040.5934,1054.71392,1064.69384
927,819.8577,844.52534,963.02766,982.5866,998.93648,1013.26266,1017.55252,1030.09016,1041.6533,1055.78084,1065.76568
928,820.7978,845.47976,964.04724,983.6164,999.97472,1014.30824,1018.60028,1031.14424,1042.7132,1056.84776,1066.83752
929,821.7379,846.43418,965.06682,984.6462,1001.01296,1015.35382,1019.64804,1032.19832,1043.7731,1057.91468,1067.90936
930,822.678,847.3886,966.0864,985.676,1002.0512,1016.3994,1020.6958,1033.2524,1044.833,1058.9816,1068.9812
931,823.6181,848.34302,967.10598,986.7058,1003.08944,1017.44498,1021.74356,1034.30648,1045.8929,1060.04852,1070.05304
932,824.5582,849.29744,968.12556,987.7356,1004.12768,1018.49056,1022.79132,1035.36056,1046.9528,1061.11544,1071.12488
933,825.4983,850.25186,969.14514,988.7654,1005.16592,1019.53614,1023.83908,1036.41464,1048.0127,1062.18236,1072.19672
934,826.4384,851.20628,970.16472,989.7952,1006.20416,1020.58172,1024.88684,1037.46872,1049.0726,1063.24928,1073.26856
935,827.3785,852.1607,971.1843,990.825,1007.2424,1021.6273,1025.9346,1038.5228,1050.1325,1064.3162,1074.3404
936,828.3186,853.11512,972.20388,991.8548,1008.28064,1022.67288,1026.98236,1039.57688,1051.1924,1065.38312,1075.41224
937,829.2587,854.06954,973.22346,992.8846,1009.31888,1023.71846,1028.03012,1040.63096,1052.2523,1066.45004,1076.48408
938,830.1988,855.02396,974.24304,993.9144,1010.35712,1024.76404,1029.07788,1041.68504,1053.3122,1067.51696,1077.55592
939,831.1389,855.97838,975.26262,994.9442,1011.39536,1025.80962,1030.12564,1042.73912,1054.3721,1068.58388,1078.62776
940,832.079,856.9328,976.2822,995.974,1012.4336,1026.8552,1031.1734,1043.7932,1055.432,1069.6508,1079.6996
941,833.0191,857.88722,977.30178,997.0038,1013.47184,1027.90078,1032.22116,1044.84728,1056.4919,1070.71772,1080.77144
942,833.9592,858.84164,978.32136,998.0336,1014.51008,1028.94636,1033.26892,1045.90136,1057.5518,1071.78464,1081.84328
