df,p0.995,p0.975,p0.2,p0.1,p0.05,p0.025,p0.02,p0.01,p0.005,p0.002,p0.001
108,73.899,81.133,120.135,127.211,133.257,138.651,140.283,145.099,149.599,155.173,159.162
109,74.724,82,121.192,128.298,134.369,139.784,141.423,146.257,150.774,156.369,160.372
110,75.55,82.867,122.25,129.385,135.48,140.917,142.562,147.414,151.948,157.563,161.581
111,76.377,83.735,123.306,130.472,136.591,142.049,143.7,148.571,153.122,158.757,162.788
112,77.204,84.604,124.363,131.558,137.701,143.18,144.838,149.727,154.294,159.95,163.995
113,78.033,85.473,125.419,132.643,138.811,144.311,145.975,150.882,155.466,161.141,165.201
114,78.862,86.342,126.475,133.729,139.921,145.441,147.111,152.037,156.637,162.332,166.406
115,79.692,87.213,127.531,134.813,141.03,146.571,148.247,153.191,157.808,163.523,167.61
116,80.522,88.084,128.587,135.898,142.138,147.7,149.383,154.344,158.977,164.712,168.813
117,81.353,88.955,129.642,136.982,143.246,148.829,150.517,155.496,160.146,165.9,170.016
118,82.185,89.827,130.697,138.066,144.354,149.957,151.652,156.648,161.314,167.088,171.217
119,83.018,90.7,131.752,139.149,145.461,151.084,152.785,157.8,162.481,168.275,172.418
120,83.852,91.573,132.806,140.233,146.567,152.211,153.918,158.95,163.648,169.461,173.617
121,84.686,92.446,133.861,141.315,147.674,153.338,155.051,160.1,164.814,170.647,174.816
122,85.52,93.32,134.915,142.398,148.779,154.464,156.183,161.25,165.98,171.831,176.014
123,86.356,94.195,135.969,143.48,149.885,155.589,157.314,162.398,167.144,173.015,177.212
124,87.192,95.07,137.022,144.562,150.989,156.714,158.445,163.546,168.308,174.198,178.408
125,88.029,95.946,138.076,145.643,152.094,157.839,159.575,164.694,169.471,175.38,179.604
126,88.866,96.822,139.129,146.724,153.198,158.962,160.705,165.841,170.634,176.562,180.799
127,89.704,97.698,140.182,147.805,154.302,160.086,161.834,166.987,171.796,177.743,181.993
128,90.543,98.576,141.235,148.885,155.405,161.209,162.963,168.133,172.957,178.923,183.186
129,91.382,99.453,142.288,149.965,156.508,162.331,164.091,169.278,174.118,180.103,184.379
130,92.222,100.331,143.34,151.045,157.61,163.453,165.219,170.423,175.278,181.282,185.571
131,93.063,101.21,144.392,152.125,158.712,164.575,166.346,171.567,176.438,182.46,186.762
132,93.904,102.089,145.444,153.204,159.814,165.696,167.473,172.711,177.597,183.637,187.953
133,94.746,102.968,146.496,154.283,160.915,166.816,168.6,173.854,178.755,184.814,189.142
134,95.588,103.848,147.548,155.361,162.016,167.936,169.725,174.996,179.913,185.99,190.331
135,96.431,104.729,148.599,156.44,163.116,169.056,170.851,176.138,181.07,187.165,191.52
136,97.275,105.609,149.651,157.518,164.216,170.175,171.976,177.28,182.226,188.34,192.707
137,98.119,106.491,150.702,158.595,165.316,171.294,173.1,178.421,183.382,189.514,193.894
138,98.964,107.372,151.753,159.673,166.415,172.412,174.224,179.561,184.538,190.688,195.08
139,99.809,108.254,152.803,160.75,167.514,173.53,175.348,180.701,185.693,191.861,196.266
140,100.655,109.137,153.854,161.827,168.613,174.648,176.471,181.84,186.847,193.033,197.451
141,101.501,110.02,154.904,162.904,169.711,175.765,177.594,182.979,188.001,194.205,198.635
142,102.348,110.903,155.954,163.98,170.809,176.882,178.716,184.118,189.154,195.376,199.819
143,103.196,111.787,157.004,165.056,171.907,177.998,179.838,185.256,190.306,196.546,201.002
144,104.044,112.671,158.054,166.132,173.004,179.114,180.959,186.393,191.458,197.716,202.184
145,104.892,113.556,159.104,167.207,174.101,180.229,182.08,187.53,192.61,198.885,203.366
146,105.741,114.441,160.153,168.283,175.198,181.344,183.2,188.666,193.761,200.054,204.547
147,106.591,115.326,161.202,169.358,176.294,182.459,184.321,189.802,194.912,201.222,205.727
148,107.441,116.212,162.251,170.432,177.39,183.573,185.44,190.938,196.062,202.39,206.907
149,108.291,117.098,163.3,171.507,178.485,184.687,186.56,192.073,197.211,203.557,208.086
150,109.142,117.985,164.349,172.581,179.581,185.8,187.678,193.208,198.36,204.723,209.265
151,109.994,118.871,165.398,173.655,180.676,186.914,188.797,194.342,199.509,205.889,210.443
152,110.846,119.759,166.446,174.729,181.77,188.026,189.915,195.476,200.657,207.054,211.62
153,111.698,120.646,167.495,175.803,182.865,189.139,191.033,196.609,201.804,208.219,212.797
154,112.551,121.534,168.543,176.876,183.959,190.251,192.15,197.742,202.951,209.383,213.973
155,113.405,122.423,169.591,177.949,185.052,191.362,193.267,198.874,204.098,210.547,215.149
156,114.259,123.312,170.639,179.022,186.146,192.474,194.384,200.006,205.244,211.71,216.324
157,115.113,124.201,171.686,180.094,187.239,193.584,195.5,201.138,206.39,212.873,217.499
158,115.968,125.09,172.734,181.167,188.332,194.695,196.616,202.269,207.535,214.035,218.673
159,116.823,125.98,173.781,182.239,189.424,195.805,197.731,203.4,208.68,215.197,219.846
160,117.679,126.87,174.828,183.311,190.516,196.915,198.846,204.53,209.824,216.358,221.019
161,118.536,127.761,175.875,184.382,191.608,198.025,199.961,205.66,210.968,217.518,222.191
162,119.392,128.651,176.922,185.454,192.7,199.134,201.076,206.79,212.111,218.678,223.363
163,120.249,129.543,177.969,186.525,193.791,200.243,202.19,207.919,213.254,219.838,224.535
164,121.107,130.434,179.016,187.596,194.883,201.351,203.303,209.047,214.396,220.997,225.705
165,121.965,131.326,180.062,188.667,195.973,202.459,204.417,210.176,215.539,222.156,226.876
166,122.823,132.218,181.109,189.737,197.064,203.567,205.53,211.304,216.68,223.314,228.045
167,123.682,133.111,182.155,190.808,198.154,204.675,206.642,212.431,217.821,224.472,229.215
168,124.541,134.003,183.201,191.878,199.244,205.782,207.755,213.558,218.962,225.629,230.383
169,125.401,134.897,184.247,192.948,200.334,206.889,208.867,214.685,220.102,226.786,231.552
170,126.261,135.79,185.293,194.017,201.423,207.995,209.978,215.812,221.242,227.942,232.719
171,127.122,136.684,186.338,195.087,202.513,209.102,211.09,216.938,222.382,229.098,233.887
172,127.983,137.578,187.384,196.156,203.602,210.208,212.201,218.063,223.521,230.253,235.053
173,128.844,138.472,188.429,197.225,204.69,211.313,213.311,219.189,224.66,231.408,236.22
174,129.706,139.367,189.475,198.294,205.779,212.419,214.422,220.314,225.798,232.563,237.385
175,130.568,140.262,190.52,199.363,206.867,213.524,215.532,221.438,226.936,233.717,238.551
176,131.43,141.157,191.565,200.432,207.955,214.628,216.641,222.563,228.074,234.87,239.716
177,132.293,142.053,192.61,201.5,209.042,215.733,217.751,223.687,229.211,236.023,240.88
178,133.157,142.949,193.654,202.568,210.13,216.837,218.86,224.81,230.347,237.176,242.044
179,134.02,143.845,194.699,203.636,211.217,217.941,219.969,225.933,231.484,238.328,243.207
180,134.884,144.741,195.743,204.704,212.304,219.044,221.077,227.056,232.62,239.48,244.37
181,135.749,145.638,196.788,205.771,213.391,220.148,222.185,228.179,233.755,240.632,245.533
182,136.614,146.535,197.832,206.839,214.477,221.251,223.293,229.301,234.891,241.783,246.695
183,137.479,147.432,198.876,207.906,215.563,222.353,224.401,230.423,236.026,242.933,247.857
184,138.344,148.33,199.92,208.973,216.649,223.456,225.508,231.544,237.16,244.084,249.018
185,139.21,149.228,200.964,210.04,217.735,224.558,226.615,232.665,238.294,245.234,250.179
186,140.077,150.126,202.008,211.106,218.82,225.66,227.722,233.786,239.428,246.383,251.339
187,140.943,151.024,203.052,212.173,219.906,226.761,228.828,234.907,240.561,247.532,252.499
188,141.81,151.923,204.095,213.239,220.991,227.863,229.935,236.027,241.694,248.681,253.659
189,142.678,152.822,205.139,214.305,222.076,228.964,231.04,237.147,242.827,249.829,254.818
190,143.545,153.721,206.182,215.371,223.16,230.064,232.146,238.266,243.959,250.977,255.976
191,144.413,154.621,207.225,216.437,224.245,231.165,233.251,239.386,245.091,252.124,257.135
192,145.282,155.521,208.268,217.502,225.329,232.265,234.356,240.505,246.223,253.271,258.292
193,146.15,156.421,209.311,218.568,226.413,233.365,235.461,241.623,247.354,254.418,259.45
194,147.02,157.321,210.354,219.633,227.496,234.465,236.566,242.742,248.485,255.564,260.607
195,147.889,158.221,211.397,220.698,228.58,235.564,237.67,243.86,249.616,256.71,261.763
196,148.759,159.122,212.439,221.763,229.663,236.664,238.774,244.977,250.746,257.855,262.92
197,149.629,160.023,213.482,222.828,230.746,237.763,239.877,246.095,251.876,259.001,264.075
198,150.499,160.925,214.524,223.892,231.829,238.861,240.981,247.212,253.006,260.145,265.231
199,151.37,161.826,215.567,224.957,232.912,239.96,242.084,248.329,254.135,261.29,266.386
200,152.241,162.728,216.609,226.021,233.994,241.058,243.187,249.445,255.264,262.434,267.541
201,153.112,163.63,217.651,227.085,235.077,242.156,244.29,250.561,256.393,263.578,268.695
202,153.984,164.532,218.693,228.149,236.159,243.254,245.392,251.677,257.521,264.721,269.849
203,154.856,165.435,219.735,229.213,237.24,244.351,246.494,252.793,258.649,265.864,271.002
204,155.728,166.338,220.777,230.276,238.322,245.448,247.596,253.908,259.777,267.007,272.155
205,156.601,167.241,221.818,231.34,239.403,246.545,248.698,255.023,260.904,268.149,273.308
206,157.474,168.144,222.86,232.403,240.485,247.642,249.799,256.138,262.031,269.291,274.46
207,158.347,169.047,223.901,233.466,241.566,248.739,250.9,257.253,263.158,270.432,275.612
208,159.221,169.951,224.943,234.529,242.647,249.835,252.001,258.367,264.285,271.574,276.764
209,160.095,170.855,225.984,235.592,243.727,250.931,253.102,259.481,265.411,272.715,277.915
210,160.969,171.759,227.025,236.655,244.808,252.027,254.202,260.595,266.537,273.855,279.066
211,161.843,172.664,228.066,237.717,245.888,253.122,255.302,261.708,267.662,274.995,280.217
212,162.718,173.568,229.107,238.78,246.968,254.218,256.402,262.821,268.788,276.135,281.367
213,163.593,174.473,230.148,239.842,248.048,255.313,257.502,263.934,269.912,277.275,282.517
214,164.469,175.378,231.189,240.904,249.128,256.408,258.601,265.047,271.037,278.414,283.666
215,165.344,176.283,232.23,241.966,250.207,257.503,259.701,266.159,272.162,279.553,284.815
216,166.22,177.189,233.27,243.028,251.286,258.597,260.8,267.271,273.286,280.692,285.964
217,167.096,178.095,234.311,244.09,252.365,259.691,261.898,268.383,274.409,281.83,287.112
218,167.973,179.001,235.351,245.151,253.444,260.785,262.997,269.495,275.533,282.968,288.261
219,168.85,179.907,236.391,246.213,254.523,261.879,264.095,270.606,276.656,284.106,289.408
220,169.727,180.813,237.432,247.274,255.602,262.973,265.193,271.717,277.779,285.243,290.556
221,170.604,181.72,238.472,248.335,256.68,264.066,266.291,272.828,278.902,286.38,291.703
222,171.482,182.627,239.512,249.396,257.758,265.159,267.389,273.939,280.024,287.517,292.85
223,172.36,183.534,240.552,250.457,258.837,266.252,268.486,275.049,281.146,288.653,293.996
224,173.238,184.441,241.592,251.517,259.914,267.345,269.584,276.159,282.268,289.789,295.142
225,174.116,185.348,242.631,252.578,260.992,268.438,270.681,277.269,283.39,290.925,296.288
226,174.995,186.256,243.671,253.638,262.07,269.53,271.777,278.379,284.511,292.061,297.433
227,175.874,187.164,244.711,254.699,263.147,270.622,272.874,279.488,285.632,293.196,298.579
228,176.753,188.072,245.75,255.759,264.224,271.714,273.97,280.597,286.753,294.331,299.723
229,177.633,188.98,246.79,256.819,265.301,272.806,275.066,281.706,287.874,295.465,300.868
230,178.512,189.889,247.829,257.879,266.378,273.898,276.162,282.814,288.994,296.6,302.012
231,179.392,190.797,248.868,258.939,267.455,274.989,277.258,283.923,290.114,297.734,303.156
232,180.273,191.706,249.908,259.998,268.531,276.08,278.354,285.031,291.234,298.867,304.299
233,181.153,192.615,250.947,261.058,269.608,277.171,279.449,286.139,292.353,300.001,305.443
234,182.034,193.524,251.986,262.117,270.684,278.262,280.544,287.247,293.472,301.134,306.586
235,182.915,194.434,253.025,263.176,271.76,279.352,281.639,288.354,294.591,302.267,307.728
236,183.796,195.343,254.063,264.235,272.836,280.443,282.734,289.461,295.71,303.4,308.871
237,184.678,196.253,255.102,265.294,273.911,281.533,283.828,290.568,296.828,304.532,310.013
238,185.56,197.163,256.141,266.353,274.987,282.623,284.922,291.675,297.947,305.664,311.154
239,186.442,198.073,257.179,267.412,276.062,283.713,286.016,292.782,299.065,306.796,312.296
240,187.324,198.984,258.218,268.471,277.138,284.802,287.11,293.888,300.182,307.927,313.437
241,188.207,199.894,259.256,269.529,278.213,285.892,288.204,294.994,301.3,309.058,314.578
242,189.09,200.805,260.295,270.588,279.288,286.981,289.298,296.1,302.417,310.189,315.718
243,189.973,201.716,261.333,271.646,280.362,288.07,290.391,297.206,303.534,311.32,316.859
244,190.856,202.627,262.371,272.704,281.437,289.159,291.484,298.311,304.651,312.45,317.999
245,191.739,203.539,263.409,273.762,282.511,290.248,292.577,299.417,305.767,313.58,319.138
246,192.623,204.45,264.447,274.82,283.586,291.336,293.67,300.522,306.883,314.71,320.278
247,193.507,205.362,265.485,275.878,284.66,292.425,294.762,301.626,307.999,315.84,321.417
248,194.391,206.274,266.523,276.935,285.734,293.513,295.855,302.731,309.115,316.969,322.556
249,195.276,207.186,267.561,277.993,286.808,294.601,296.947,303.835,310.231,318.098,323.694
250,196.161,208.098,268.599,279.05,287.882,295.689,298.039,304.94,311.346,319.227,324.832
251,197.05104,209.01428,269.63496,280.10478,288.95226,296.7727,299.12672,306.03932,312.45596,320.34984,325.96386
252,197.94108,209.93056,270.67092,281.15956,290.02252,297.8564,300.21444,307.13864,313.56592,321.47268,327.09572
253,198.83112,210.84684,271.70688,282.21434,291.09278,298.9401,301.30216,308.23796,314.67588,322.59552,328.22758
254,199.72116,211.76312,272.74284,283.26912,292.16304,300.0238,302.38988,309.33728,315.78584,323.71836,329.35944
255,200.6112,212.6794,273.7788,284.3239,293.2333,301.1075,303.4776,310.4366,316.8958,324.8412,330.4913
256,201.50124,213.59568,274.81476,285.37868,294.30356,302.1912,304.56532,311.53592,318.00576,325.96404,331.62316
257,202.39128,214.51196,275.85072,286.43346,295.37382,303.2749,305.65304,312.63524,319.11572,327.08688,332.75502
258,203.28132,215.42824,276.88668,287.48824,296.44408,304.3586,306.74076,313.73456,320.22568,328.20972,333.88688
259,204.17136,216.34452,277.92264,288.54302,297.51434,305.4423,307.82848,314.83388,321.33564,329.33256,335.01874
260,205.0614,217.2608,278.9586,289.5978,298.5846,306.526,308.9162,315.9332,322.4456,330.4554,336.1506
261,205.95144,218.17708,279.99456,290.65258,299.65486,307.6097,310.00392,317.03252,323.55556,331.57824,337.28246
262,206.84148,219.09336,281.03052,291.70736,300.72512,308.6934,311.09164,318.13184,324.66552,332.70108,338.41432
263,207.73152,220.00964,282.06648,292.76214,301.79538,309.7771,312.17936,319.23116,325.77548,333.82392,339.54618
264,208.62156,220.92592,283.10244,293.81692,302.86564,310.8608,313.26708,320.33048,326.88544,334.94676,340.67804
265,209.5116,221.8422,284.1384,294.8717,303.9359,311.9445,314.3548,321.4298,327.9954,336.0696,341.8099
266,210.40164,222.75848,285.17436,295.92648,305.00616,313.0282,315.44252,322.52912,329.10536,337.19244,342.94176
267,211.29168,223.67476,286.21032,296.98126,306.07642,314.1119,316.53024,323.62844,330.21532,338.31528,344.07362
268,212.18172,224.59104,287.24628,298.03604,307.14668,315.1956,317.61796,324.72776,331.32528,339.43812,345.20548
269,213.07176,225.50732,288.28224,299.09082,308.21694,316.2793,318.70568,325.82708,332.43524,340.56096,346.33734
270,213.9618,226.4236,289.3182,300.1456,309.2872,317.363,319.7934,326.9264,333.5452,341.6838,347.4692
271,214.85184,227.33988,290.35416,301.20038,310.35746,318.4467,320.88112,328.02572,334.65516,342.80664,348.60106
272,215.74188,228.25616,291.39012,302.25516,311.42772,319.5304,321.96884,329.12504,335.76512,343.92948,349.73292
273,216.63192,229.17244,292.42608,303.30994,312.49798,320.6141,323.05656,330.22436,336.87508,345.05232,350.86478
274,217.52196,230.08872,293.46204,304.36472,313.56824,321.6978,324.14428,331.32368,337.98504,346.17516,351.99664
275,218.412,231.005,294.498,305.4195,314.6385,322.7815,325.232,332.423,339.095,347.298,353.1285
276,219.30204,231.92128,295.53396,306.47428,315.70876,323.8652,326.31972,333.52232,340.20496,348.42084,354.26036
277,220.19208,232.83756,296.56992,307.52906,316.77902,324.9489,327.40744,334.62164,341.31492,349.54368,355.39222
278,221.08212,233.75384,297.60588,308.58384,317.84928,326.0326,328.49516,335.72096,342.42488,350.66652,356.52408
279,221.97216,234.67012,298.64184,309.63862,318.91954,327.1163,329.58288,336.82028,343.53484,351.78936,357.65594
280,222.8622,235.5864,299.6778,310.6934,319.9898,328.2,330.6706,337.9196,344.6448,352.9122,358.7878
281,223.75224,236.50268,300.71376,311.74818,321.06006,329.2837,331.75832,339.01892,345.75476,354.03504,359.91966
282,224.64228,237.41896,301.74972,312.80296,322.13032,330.3674,332.84604,340.11824,346.86472,355.15788,361.05152
283,225.53232,238.33524,302.78568,313.85774,323.20058,331.4511,333.93376,341.21756,347.97468,356.28072,362.18338
284,226.42236,239.25152,303.82164,314.91252,324.27084,332.5348,335.02148,342.31688,349.08464,357.40356,363.31524
285,227.3124,240.1678,304.8576,315.9673,325.3411,333.6185,336.1092,343.4162,350.1946,358.5264,364.4471
286,228.20244,241.08408,305.89356,317.02208,326.41136,334.7022,337.19692,344.51552,351.30456,359.64924,365.57896
287,229.09248,242.00036,306.92952,318.07686,327.48162,335.7859,338.28464,345.61484,352.41452,360.77208,366.71082
288,229.98252,242.91664,307.96548,319.13164,328.55188,336.8696,339.37236,346.71416,353.52448,361.89492,367.84268
289,230.87256,243.83292,309.00144,320.18642,329.62214,337.9533,340.46008,347.81348,354.63444,363.01776,368.97454
290,231.7626,244.7492,310.0374,321.2412,330.6924,339.037,341.5478,348.9128,355.7444,364.1406,370.1064
291,232.65264,245.66548,311.07336,322.29598,331.76266,340.1207,342.63552,350.01212,356.85436,365.26344,371.23826
292,233.54268,246.58176,312.10932,323.35076,332.83292,341.2044,343.72324,351.11144,357.96432,366.38628,372.37012
293,234.43272,247.49804,313.14528,324.40554,333.90318,342.2881,344.81096,352.21076,359.07428,367.50912,373.50198
294,235.32276,248.41432,314.18124,325.46032,334.97344,343.3718,345.89868,353.31008,360.18424,368.63196,374.63384
295,236.2128,249.3306,315.2172,326.5151,336.0437,344.4555,346.9864,354.4094,361.2942,369.7548,375.7657
296,237.10284,250.24688,316.25316,327.56988,337.11396,345.5392,348.07412,355.50872,362.40416,370.87764,376.89756
297,237.99288,251.16316,317.28912,328.62466,338.18422,346.6229,349.16184,356.60804,363.51412,372.00048,378.02942
298,238.88292,252.07944,318.32508,329.67944,339.25448,347.7066,350.24956,357.70736,364.62408,373.12332,379.16128
299,239.77296,252.99572,319.36104,330.73422,340.32474,348.7903,351.33728,358.80668,365.73404,374.24616,380.29314
300,240.663,253.912,320.397,331.789,341.395,349.874,352.425,359.906,366.844,375.369,381.425
301,241.5619,254.83504,321.43008,332.83934,342.45962,350.95098,353.50564,360.99736,367.94512,376.48196,382.54626
302,242.4608,255.75808,322.46316,333.88968,343.52424,352.02796,354.58628,362.08872,369.04624,377.59492,383.66752
303,243.3597,256.68112,323.49624,334.94002,344.58886,353.10494,355.66692,363.18008,370.14736,378.70788,384.78878
304,244.2586,257.60416,324.52932,335.99036,345.65348,354.18192,356.74756,364.27144,371.24848,379.82084,385.91004
305,245.1575,258.5272,325.5624,337.0407,346.7181,355.2589,357.8282,365.3628,372.3496,380.9338,387.0313
306,246.0564,259.45024,326.59548,338.09104,347.78272,356.33588,358.90884,366.45416,373.45072,382.04676,388.15256
307,246.9553,260.37328,327.62856,339.14138,348.84734,357.41286,359.98948,367.54552,374.55184,383.15972,389.27382
308,247.8542,261.29632,328.66164,340.19172,349.91196,358.48984,361.07012,368.63688,375.65296,384.27268,390.39508
309,248.7531,262.21936,329.69472,341.24206,350.97658,359.56682,362.15076,369.72824,376.75408,385.38564,391.51634
310,249.652,263.1424,330.7278,342.2924,352.0412,360.6438,363.2314,370.8196,377.8552,386.4986,392.6376
311,250.5509,264.06544,331.76088,343.34274,353.10582,361.72078,364.31204,371.91096,378.95632,387.61156,393.75886
312,251.4498,264.98848,332.79396,344.39308,354.17044,362.79776,365.39268,373.00232,380.05744,388.72452,394.88012
313,252.3487,265.91152,333.82704,345.44342,355.23506,363.87474,366.47332,374.09368,381.15856,389.83748,396.00138
314,253.2476,266.83456,334.86012,346.49376,356.29968,364.95172,367.55396,375.18504,382.25968,390.95044,397.12264
315,254.1465,267.7576,335.8932,347.5441,357.3643,366.0287,368.6346,376.2764,383.3608,392.0634,398.2439
316,255.0454,268.68064,336.92628,348.59444,358.42892,367.10568,369.71524,377.36776,384.46192,393.17636,399.36516
317,255.9443,269.60368,337.95936,349.64478,359.49354,368.18266,370.79588,378.45912,385.56304,394.28932,400.48642
318,256.8432,270.52672,338.99244,350.69512,360.55816,369.25964,371.87652,379.55048,386.66416,395.40228,401.60768
319,257.7421,271.44976,340.02552,351.74546,361.62278,370.33662,372.95716,380.64184,387.76528,396.51524,402.72894
320,258.641,272.3728,341.0586,352.7958,362.6874,371.4136,374.0378,381.7332,388.8664,397.6282,403.8502
321,259.5399,273.29584,342.09168,353.84614,363.75202,372.49058,375.11844,382.82456,389.96752,398.74116,404.97146
322,260.4388,274.21888,343.12476,354.89648,364.81664,373.56756,376.19908,383.91592,391.06864,399.85412,406.09272
323,261.3377,275.14192,344.15784,355.94682,365.88126,374.64454,377.27972,385.00728,392.16976,400.96708,407.21398
324,262.2366,276.06496,345.19092,356.99716,366.94588,375.72152,378.36036,386.09864,393.27088,402.08004,408.33524
325,263.1355,276.988,346.224,358.0475,368.0105,376.7985,379.441,387.19,394.372,403.193,409.4565
326,264.0344,277.91104,347.25708,359.09784,369.07512,377.87548,380.52164,388.28136,395.47312,404.30596,410.57776
327,264.9333,278.83408,348.29016,360.14818,370.13974,378.95246,381.60228,389.37272,396.57424,405.41892,411.69902
328,265.8322,279.75712,349.32324,361.19852,371.20436,380.02944,382.68292,390.46408,397.67536,406.53188,412.82028
329,266.7311,280.68016,350.35632,362.24886,372.26898,381.10642,383.76356,391.55544,398.77648,407.64484,413.94154
330,267.63,281.6032,351.3894,363.2992,373.3336,382.1834,384.8442,392.6468,399.8776,408.7578,415.0628
331,268.5289,282.52624,352.42248,364.34954,374.39822,383.26038,385.92484,393.73816,400.97872,409.87076,416.18406
332,269.4278,283.44928,353.45556,365.39988,375.46284,384.33736,387.00548,394.82952,402.07984,410.98372,417.30532
333,270.3267,284.37232,354.48864,366.45022,376.52746,385.41434,388.08612,395.92088,403.18096,412.09668,418.42658
334,271.2256,285.29536,355.52172,367.50056,377.59208,386.49132,389.16676,397.01224,404.28208,413.20964,419.54784
335,272.1245,286.2184,356.5548,368.5509,378.6567,387.5683,390.2474,398.1036,405.3832,414.3226,420.6691
336,273.0234,287.14144,357.58788,369.60124,379.72132,388.64528,391.32804,399.19496,406.48432,415.43556,421.79036
337,273.9223,288.06448,358.62096,370.65158,380.78594,389.72226,392.40868,400.28632,407.58544,416.54852,422.91162
338,274.8212,288.98752,359.65404,371.70192,381.85056,390.79924,393.48932,401.37768,408.68656,417.66148,424.03288
339,275.7201,289.91056,360.68712,372.75226,382.91518,391.87622,394.56996,402.46904,409.78768,418.77444,425.15414
340,276.619,290.8336,361.7202,373.8026,383.9798,392.9532,395.6506,403.5604,410.8888,419.8874,426.2754
341,277.5179,291.75664,362.75328,374.85294,385.04442,394.03018,396.73124,404.65176,411.98992,421.00036,427.39666
342,278.4168,292.67968,363.78636,375.90328,386.10904,395.10716,397.81188,405.74312,413.09104,422.11332,428.51792
343,279.3157,293.60272,364.81944,376.95362,387.17366,396.18414,398.89252,406.83448,414.19216,423.22628,429.63918
344,280.2146,294.52576,365.85252,378.00396,388.23828,397.26112,399.97316,407.92584,415.29328,424.33924,430.76044
345,281.1135,295.4488,366.8856,379.0543,389.3029,398.3381,401.0538,409.0172,416.3944,425.4522,431.8817
346,282.0124,296.37184,367.91868,380.10464,390.36752,399.41508,402.13444,410.10856,417.49552,426.56516,433.00296
347,282.9113,297.29488,368.95176,381.15498,391.43214,400.49206,403.21508,411.19992,418.59664,427.67812,434.12422
348,283.8102,298.21792,369.98484,382.20532,392.49676,401.56904,404.29572,412.29128,419.69776,428.79108,435.24548
349,284.7091,299.14096,371.01792,383.25566,393.56138,402.64602,405.37636,413.38264,420.79888,429.90404,436.36674
350,285.608,300.064,372.051,384.306,394.626,403.723,406.457,414.474,421.9,431.017,437.488
351,286.5139,300.99236,373.08178,385.35286,395.68612,404.79464,407.53208,415.559,422.99412,432.12214,438.60088
352,287.4198,301.92072,374.11256,386.39972,396.74624,405.86628,408.60716,416.644,424.08824,433.22728,439.71376
353,288.3257,302.84908,375.14334,387.44658,397.80636,406.93792,409.68224,417.729,425.18236,434.33242,440.82664
354,289.2316,303.77744,376.17412,388.49344,398.86648,408.00956,410.75732,418.814,426.27648,435.43756,441.93952
355,290.1375,304.7058,377.2049,389.5403,399.9266,409.0812,411.8324,419.899,427.3706,436.5427,443.0524
356,291.0434,305.63416,378.23568,390.58716,400.98672,410.15284,412.90748,420.984,428.46472,437.64784,444.16528
357,291.9493,306.56252,379.26646,391.63402,402.04684,411.22448,413.98256,422.069,429.55884,438.75298,445.27816
358,292.8552,307.49088,380.29724,392.68088,403.10696,412.29612,415.05764,423.154,430.65296,439.85812,446.39104
359,293.7611,308.41924,381.32802,393.72774,404.16708,413.36776,416.13272,424.239,431.74708,440.96326,447.50392
360,294.667,309.3476,382.3588,394.7746,405.2272,414.4394,417.2078,425.324,432.8412,442.0684,448.6168
361,295.5729,310.27596,383.38958,395.82146,406.28732,415.51104,418.28288,426.409,433.93532,443.17354,449.72968
362,296.4788,311.20432,384.42036,396.86832,407.34744,416.58268,419.35796,427.494,435.02944,444.27868,450.84256
363,297.3847,312.13268,385.45114,397.91518,408.40756,417.65432,420.43304,428.579,436.12356,445.38382,451.95544
364,298.2906,313.06104,386.48192,398.96204,409.46768,418.72596,421.50812,429.664,437.21768,446.48896,453.06832
365,299.1965,313.9894,387.5127,400.0089,410.5278,419.7976,422.5832,430.749,438.3118,447.5941,454.1812
366,300.1024,314.91776,388.54348,401.05576,411.58792,420.86924,423.65828,431.834,439.40592,448.69924,455.29408
367,301.0083,315.84612,389.57426,402.10262,412.64804,421.94088,424.73336,432.919,440.50004,449.80438,456.40696
368,301.9142,316.77448,390.60504,403.14948,413.70816,423.01252,425.80844,434.004,441.59416,450.90952,457.51984
369,302.8201,317.70284,391.63582,404.19634,414.76828,424.08416,426.88352,435.089,442.68828,452.01466,458.63272
370,303.726,318.6312,392.6666,405.2432,415.8284,425.1558,427.9586,436.174,443.7824,453.1198,459.7456
371,304.6319,319.55956,393.69738,406.29006,416.88852,426.22744,429.03368,437.259,444.87652,454.22494,460.85848
372,305.5378,320.48792,394.72816,407.33692,417.94864,427.29908,430.10876,438.344,445.97064,455.33008,461.97136
373,306.4437,321.41628,395.75894,408.38378,419.00876,428.37072,431.18384,439.429,447.06476,456.43522,463.08424
374,307.3496,322.34464,396.78972,409.43064,420.06888,429.44236,432.25892,440.514,448.15888,457.54036,464.19712
375,308.2555,323.273,397.8205,410.4775,421.129,430.514,433.334,441.599,449.253,458.6455,465.31
376,309.1614,324.20136,398.85128,411.52436,422.18912,431.58564,434.40908,442.684,450.34712,459.75064,466.42288
377,310.0673,325.12972,399.88206,412.57122,423.24924,432.65728,435.48416,443.769,451.44124,460.85578,467.53576
378,310.9732,326.05808,400.91284,413.61808,424.30936,433.72892,436.55924,444.854,452.53536,461.96092,468.64864
379,311.8791,326.98644,401.94362,414.66494,425.36948,434.80056,437.63432,445.939,453.62948,463.06606,469.76152
380,312.785,327.9148,402.9744,415.7118,426.4296,435.8722,438.7094,447.024,454.7236,464.1712,470.8744
